star_name,gaiadr3,HD,S_Value_mean,cycle[years]
TIC 184281898,2423493369021649920,HD 1835,0.349,9.1
TIC 466443343,2751054066372848768,HD 2454,0.17,
TIC 434210589,2802397960855105920,HD 3651,0.176,13.8
TIC 20926643,2347427402266219008,HD 3795,0.156,
TIC 257393898,2552925644460225152,HD 4628,0.23,8.37
TIC 29845542,2477891500647336704,HD 9562,0.136,
TIC 113710966,96331172942614528,HD 10476,0.198,9.6
TIC 419015728,2452378776434477184,HD 10700,0.171,
TIC 373694425,512167948043650816,HD 10780,0.28,
TIC 422679659,2511794495013074048,HD 12235,0.16,
TIC 337046898,2521857809546128896,HD 13421,0.131,
TIC 278962915,19316224572460416,HD 16160,0.226,13.2
TIC 4748040,5173902189571919872,HD 16673,0.215,
TIC 30016911,5160075762132996992,HD 17925,0.653,
TIC 91415280,35773474098974592,HD 18256,0.185,6.8
TIC 118572803,5164707970261890560,HD 22049,0.496,
TIC 435294041,56413781254974080,HD 22072,0.131,
TIC 38511251,5164120762333028736,HD 23249,0.137,
TIC 353257675,225668203191521280,HD 25998,0.3,
TIC 283792891,3285218255623808640,HD 26913,0.396,7.8
TIC 283792884,3285218186904332288,HD 26923,0.287,
TIC 67772871,3195919528989223040,HD 26965,0.206,10.1
TIC 156157340,175618983647633920,HD 29645,0.14,
TIC 117979951,2980492387558410112,HD 30495,0.297,
TIC 213041474,3211461469444773376,HD 32147,0.286,11.1
TIC 248448574,3214665240169427072,HD 33608,0.214,
TIC 47346402,3400292798990117888,HD 35296,0.332,
TIC 311063391,263916708025623680,HD 37394,0.453,3.6
TIC 114776214,3399063235755057792,HD 39587,0.325,
TIC 265361101,3317901165746471552,HD 43587,0.156,
TIC 42334982,3118434397663311360,HD 45067,0.141,
TIC 284898141,716109930305855360,HD 75332,0.279,
TIC 62569281,5760701787150565888,HD 76151,0.246,2.52
TIC 355127594,714116137767540096,HD 78366,0.248,12.2
TIC 46802551,5745464991235898752,HD 81809,0.172,8.17
TIC 172533278,646255212109355136,HD 82443,0.635,2.8
TIC 8915802,798068905726303232,HD 82885,0.284,7.9
TIC 8154501,804739952015901056,HD 89744,0.137,
TIC 353969903,762815470562110464,HD 95735,0.424,
TIC 219030951,3966121308211393920,HD 100180,0.165,3.56
TIC 380543530,3800758057928927872,HD 100563,0.202,
TIC 101641846,4025850731201819392,HD 101501,0.311,
TIC 309599261,4034171629042489088,HD 103095,0.188,7.3
TIC 176941311,3581001280225616128,HD 106516,0.208,
TIC 328861895,4010179460691154816,HD 107213,0.135,
TIC 142277151,1579858609793019264,HD 111456,0.3,
TIC 138128530,3937881211045638400,HD 114378,0.244,
TIC 445070560,1460229442589223424,HD 114710,0.201,16.6
TIC 157272202,1566224665609504128,HD 115043,0.327,
TIC 397587084,3732539683617410816,HD 115383,0.313,
TIC 373765355,3936909723803146368,HD 115404,0.535,12.4
TIC 422478973,3507879565090229888,HD 115617,0.162,
TIC 72506701,1244571953471006720,HD 120136,0.191,11.6
TIC 459250741,1226796526941689856,HD 124570,0.133,
TIC 6029884,3640828731549972480,HD 124850,0.21,
TIC 446436963,3654496279558010624,HD 126053,0.165,
TIC 159613900,1668690628102524672,HD 129333,0.544,
TIC 311180437,1237090738916392704,HD 131156A,0.461,
TIC 1101124559,1237090738916392832,HD 131156B,1.381,
TIC 461297684,4421455530273900032,HD 136202,0.14,
TIC 296740796,4430238051199001216,HD 141004,0.155,
TIC 157364190,1384195086792268800,HD 142373,0.147,
TIC 458494003,1323427759184545536,HD 143761,0.15,
TIC 58092025,4358031335898505472,HD 149661,0.339,17.4
TIC 326927305,4381250547575102208,HD 152391,0.393,10.9
TIC 297236135,4381502851133968128,HD 154417,0.269,7.4
TIC 1277142190,4109030160308317312,HD 155885,0.384,5.7
TIC 79454735,4109030160308320128,HD 155886,0.375,
TIC 79841001,4109034455276324608,HD 156026,0.77,21.0
TIC 164139204,4373199682919943808,HD 158614,0.158,
TIC 462666639,4553915070463303168,HD 159332,0.144,
TIC 349491678,4377160604838377600,HD 160346,0.3,7.0
TIC 460022840,4581407396644208128,HD 161239,0.138,5.7
TIC 1674663309,4468557611984384512,HD 165341A,0.392,5.1
TIC 1674663308,4468557611977674496,HD 165341B,0.691,
TIC 75946144,4610177733290768896,HD 166620,0.19,15.8
TIC 20601206,2043885295914531072,HD 176051,0.176,
TIC 394647304,4513165073646443008,HD 178428,0.154,
TIC 388170973,4308654978827295360,HD 182101,0.216,5.1
TIC 359981217,4315804351350378496,HD 182572,0.148,
TIC 259237827,2261614264931057664,HD 185144,0.215,
TIC 58445695,2035035223783462400,HD 187013,0.154,
TIC 408842743,4303294039306246656,HD 187691,0.148,5.4
TIC 375621179,4296708789290712064,HD 188512,0.136,4.1
TIC 345217789,4247023886053586304,HD 190007,0.746,13.7
TIC 105999792,2029433521248546304,HD 190360,0.146,
TIC 275240386,1821708351374312064,HD 190406,0.194,2.6
TIC 456398764,1805044913356835328,HD 194012,0.198,16.7
TIC 165602000,1872046609345556480,HD 201091,0.658,7.3
TIC 165602023,1872046574983497216,HD 201092,0.986,11.7
TIC 301880196,1772187382746856320,HD 206860,0.33,6.2
TIC 326202925,1896396703077703936,HD 207978,0.152,
GAIA DR3 2707385278448365696,2707385278448365696,HD 212754,0.14,
TIC 318705095,2717930312217660928,HD 216385,0.142,
TIC 139298196,2835207319109249920,HD 217014,0.149,
TIC 214664574,2411855072801158656,HD 219834A,0.155,21.0
TIC 214664575,2411855072801159040,HD 219834B,0.204,10.0
TIC 117956546,2853900872207888768,HD 224930,0.184,10.2
