hpic_name,StarName,Smedian,log(Rhk),Age(Gyr)
TIC 309599261,HD 103095,0.2087,-4.774,2.44
TIC 156986186,HD 103432,0.2571,-4.614,1.40
TIC 403802333,HD 103932,0.4455,-4.892,3.77
TIC 428673146,HD 104067,0.3422,-4.683,1.78
TIC 152738837,HD 104304,0.1592,-5.026,6.13
TIC 21623610,HD 105631,0.2855,-4.627,1.47
TIC 56812239,HD 106116,0.1534,-5.047,6.60
TIC 397558016,HD 106156,0.2615,-4.683,1.78
TIC 66666079,HD 107148,0.1562,-5.027,6.15
TIC 460814512,HD 110315,0.3232,-4.933,4.38
TIC 51739133,HD 110537,0.1541,-5.037,6.37
TIC 288529330,HD 111031,0.1484,-5.080,7.37
TIC 160010717,HD 111395,0.3038,-4.533,1.02
TIC 380699270,HD 111515,0.1695,-4.931,4.35
TIC 53280272,HD 111631,1.6850,-4.699,1.88
TIC 359119757,HD 112257,0.1848,-4.864,3.40
TIC 320211956,HD 112914,0.2710,-4.777,2.47
TIC 381726125,HD 114174,0.1867,-4.856,3.30
TIC 30293512,HD 114613,0.1482,-5.085,7.50
TIC 124401411,HD 114729,0.1505,-5.043,6.50
TIC 138172859,HD 114762,0.1254,-5.281,13.51
TIC 292113181,HD 114783,0.1885,-4.951,4.69
TIC 393713800,HD 116442,0.1638,-5.000,5.59
TIC 393713801,HD 116443,0.1731,-4.975,5.10
TIC 159190692,HD 116956,0.4814,-4.359,0.22
TIC 405501056,HD 117207,0.1578,-5.023,6.06
TIC 378993741,HD 117936,0.5466,-4.548,1.09
TIC 72465347,HD 119850,0.7640,-4.872,3.50
TIC 379117362,HD 120066,0.1625,-4.969,5.00
TIC 437325588,HD 120467,0.6515,-4.814,2.82
TIC 359220741,HD 120476A,0.5928,-4.623,1.44
TIC 202380743,HD 122064,0.2473,-4.910,4.03
TIC 115110801,HD 122120,0.5902,-4.757,2.30
TIC 119147875,HD 122303,1.2350,-4.678,1.75
TIC 232527921,HD 122652,0.2164,-4.681,1.76
TIC 308311310,HD 124106,0.3851,-4.532,1.02
TIC 147718994,HD 124292,0.1574,-5.028,6.16
TIC 173106845,HD 124642,0.7782,-4.473,0.75
TIC 6041460,HD 125184,0.1483,-5.083,7.47
TIC 203230367,HD 125455,0.1805,-4.955,4.74
TIC 446436963,HD 126053,0.1642,-4.950,4.67
TIC 27525457,HD 127334,0.1503,-5.069,7.11
TIC 357373129,HD 128165,0.3129,-4.763,2.35
TIC 349606708,HD 128311,0.5915,-4.434,0.56
TIC 345291554,HD 129814,0.1678,-4.937,4.45
TIC 450354414,HD 130004,0.2756,-4.731,2.10
TIC 368804760,HD 130307,0.3436,-4.613,1.40
TIC 189694184,HD 130322,0.2349,-4.741,2.17
TIC 349670920,HD 130871,0.2660,-4.797,2.66
TIC 129383,HD 130992,0.3227,-4.762,2.34
TIC 48228593,HD 131117,0.1418,-5.114,8.24
TIC 161058448,HD 132142,0.1793,-4.923,4.22
TIC 432235014,HD 134439,0.1625,-5.007,5.74
TIC 432234964,HD 134440,0.1787,-4.962,4.87
TIC 180284425,HD 136442,0.1316,-5.298,14.13
TIC 36981205,HD 136713,0.3104,-4.755,2.28
TIC 461330181,HD 136834,0.2183,-4.937,4.45
TIC 400015692,HD 136925,0.1570,-4.996,5.51
TIC 37149743,HD 137778,0.5285,-4.424,0.51
TIC 309284002,HD 138549,0.1735,-4.934,4.40
TIC 148817611,HD 139323,0.2062,-4.925,4.25
TIC 323138830,HD 139457,0.1493,-5.029,6.20
TIC 198315173,HD 139477,0.7729,-4.480,0.78
TIC 272595871,HD 141272,0.4365,-4.396,0.38
TIC 156067565,HD 141399,0.1620,-5.009,5.77
TIC 272814606,HD 142229,0.3645,-4.366,0.24
TIC 258177087,HD 143291,0.1825,-4.901,3.89
TIC 236316949,HD 144287,0.1601,-5.013,5.86
TIC 24089803,HD 144579,0.1664,-4.960,4.84
TIC 410994457,HD 144585,0.1503,-5.064,6.98
TIC 49406320,HD 145809,0.1471,-5.074,7.23
TIC 98524451,HD 146775,0.1722,-4.906,3.96
TIC 230072155,HD 147231,0.1555,-5.031,6.23
TIC 318946785,HD 148467,0.6838,-4.743,2.19
TIC 281738302,HD 149806,0.2029,-4.871,3.49
TIC 58360410,HD 150433,0.1661,-4.936,4.42
TIC 383068976,HD 150698,0.1325,-5.213,11.20
TIC 224329387,HD 151288,1.1970,-4.654,1.61
TIC 230123572,HD 151541,0.1632,-5.002,5.63
TIC 57329793,HD 151877,0.2140,-4.828,2.97
TIC 150553840,HD 151995,0.2959,-4.829,2.99
TIC 326927305,HD 152391,0.3430,-4.493,0.84
TIC 115509518,HD 152792,0.1474,-5.078,7.32
TIC 181938424,HD 153458,0.2742,-4.560,1.15
TIC 115582977,HD 153525,0.5660,-4.480,0.78
TIC 115582979,HD 153557,0.5178,-4.478,0.77
TIC 20856917,HD 154088,0.1550,-5.061,6.92
TIC 198562505,HD 154345,0.2161,-4.766,2.37
TIC 142456308,HD 154363,0.4340,-4.779,2.49
TIC 351654581,HD 155712,0.1892,-4.961,4.86
TIC 232606278,HD 156279,0.1745,-4.952,4.70
TIC 81376588,HD 156365,0.1417,-5.127,8.62
TIC 257715493,HD 156668,0.2331,-4.889,3.72
TIC 171172442,HD 156826,0.1734,-4.986,5.31
TIC 188640759,HD 156985,0.2646,-4.819,2.88
TIC 76723012,HD 157172,0.1545,-5.053,6.73
TIC 157921708,HD 157338,0.1689,-4.910,4.02
TIC 59476871,HD 157347,0.1662,-4.964,4.91
TIC 327860248,HD 157881,1.6100,-4.579,1.23
TIC 219880402,HD 158633,0.1735,-4.942,4.53
TIC 270258076,HD 159062,0.1701,-4.946,4.59
TIC 400231203,HD 159063,0.1483,-5.036,6.36
TIC 39464221,HD 159222,0.1749,-4.897,3.84
TIC 350628427,HD 161848,0.1872,-4.903,3.92
TIC 8147643,HD 163153,0.1540,-5.053,6.74
TIC 289813241,HD 164507,0.1610,-5.006,5.71
TIC 158917706,HD 164595,0.1649,-4.961,4.85
TIC 159019691,HD 164922,0.1527,-5.069,7.12
TIC 41378014,HD 165222,1.0060,-4.781,2.51
TIC 399244384,HD 165401,0.2261,-4.659,1.64
TIC 75946144,HD 166620,0.1706,-5.002,5.62
TIC 353988778,HD 167042,0.1510,-5.129,8.67
TIC 76136632,HD 167389,0.2599,-4.575,1.21
TIC 379558372,HD 167665,0.1833,-4.816,2.84
TIC 416117806,HD 168009,0.1598,-4.988,5.34
TIC 16465196,HD 168443,0.1483,-5.087,7.55
TIC 18097734,HD 168746,0.1580,-5.013,5.84
TIC 53134037,HD 169830,0.1421,-5.095,7.76
TIC 133556737,HD 170493,0.4126,-4.731,2.10
TIC 186271747,HD 170657,0.3246,-4.622,1.44
TIC 50226706,HD 171067,0.1734,-4.922,4.20
TIC 151654299,HD 171665,0.1728,-4.926,4.27
TIC 1544160,HD 172051,0.1677,-4.947,4.61
TIC 322961536,HD 172310,0.1822,-4.883,3.64
TIC 211217450,HD 172513,0.2243,-4.739,2.16
TIC 123234496,HD 173701,0.1916,-4.906,3.97
TIC 359676790,HD 173739,0.4292,-5.248,12.39
TIC 471012023,HD 173740,0.6126,-5.174,9.98
TIC 226107999,HD 173818,1.2090,-4.528,1.00
TIC 93137389,HD 174080,0.8291,-4.438,0.58
TIC 20785413,HD 176377,0.1805,-4.850,3.23
TIC 120495825,HD 177153,0.1350,-5.172,9.92
TIC 42812945,HD 178911B,0.1816,-4.909,4.01
TIC 2288734,HD 179949,0.2386,-4.612,1.39
TIC 298896136,HD 179957,0.1753,-4.910,4.02
TIC 298896144,HD 179958,0.1720,-4.925,4.25
TIC 284359245,HD 180161,0.3827,-4.471,0.74
TIC 176188045,HD 180617,1.0520,-4.819,2.88
TIC 3409107,HD 181234,0.1486,-5.098,7.84
TIC 394547839,HD 182488,0.1626,-5.015,5.89
TIC 21704463,HD 183650,0.1495,-5.077,7.29
TIC 100374998,HD 183658,0.1677,-4.945,4.58
TIC 100711809,HD 183870,0.4973,-4.460,0.68
TIC 275633056,HD 185414,0.1834,-4.848,3.20
TIC 58559140,HD 187123,0.1565,-5.015,5.89
TIC 435479953,HD 187237,0.2114,-4.740,2.17
TIC 281446108,HD 187897,0.2971,-4.493,0.84
TIC 281360699,HD 187923,0.1585,-4.998,5.55
TIC 327519289,HD 188510,0.1686,-4.946,4.60
TIC 161522366,HD 189625,0.1953,-4.812,2.81
TIC 256364928,HD 189733,0.5099,-4.445,0.61
TIC 345217789,HD 190007,0.6557,-4.653,1.60
TIC 418189606,HD 190067,0.1743,-4.933,4.38
TIC 105999792,HD 190360,0.1460,-5.105,8.03
TIC 287947139,HD 190404,0.1631,-5.005,5.70
TIC 87216634,HD 191785,0.1624,-5.024,6.08
TIC 43299926,HD 192020,0.4579,-4.441,0.59
TIC 243962745,HD 192263,0.4983,-4.464,0.70
TIC 326096771,HD 192310,0.1806,-4.962,4.87
TIC 237306300,HD 193202,0.9064,-4.777,2.47
TIC 72052060,HD 193901,0.1731,-4.866,3.43
TIC 210171104,HD 195019,0.1604,-4.989,5.36
TIC 1942830713,HD 195019B,0.7693,-4.788,2.58
TIC 205591703,HD 195564,0.1394,-5.151,9.28
TIC 375001160,HD 196201,0.1704,-4.947,4.62
TIC 188401533,HD 196761,0.1720,-4.937,4.45
TIC 64804337,HD 196850,0.1612,-4.975,5.11
TIC 330872058,HD 197076,0.1783,-4.871,3.49
TIC 23959521,HD 198802,0.1570,-5.013,5.85
TIC 365670764,HD 199305,1.5695,-4.525,0.99
TIC 364182010,HD 199476,0.1753,-4.905,3.95
TIC 388996956,HD 202575,0.8031,-4.356,0.20
TIC 376363393,HD 202751,0.2079,-4.978,5.17
TIC 242020806,HD 204587,0.6943,-4.833,3.03
TIC 388931495,HD 207874,0.1695,-5.010,5.78
TIC 258038021,HD 208038,0.5083,-4.439,0.58
TIC 399897311,HD 208313,0.2615,-4.774,2.44
TIC 241257122,HD 208801,0.1375,-5.213,11.20
TIC 292987389,HD 209290,1.7120,-4.474,0.75
TIC 420814525,HD 209458,0.1603,-4.959,4.83
TIC 50227884,HD 210277,0.1525,-5.064,7.00
TIC 437701837,HD 211038,0.1345,-5.185,10.30
TIC 415868365,HD 212291,0.1974,-4.814,2.82
TIC 270582021,HD 213042,0.3713,-4.783,2.53
TIC 200215494,HD 213519,0.1531,-5.033,6.29
TIC 253928127,HD 213628,0.1620,-4.998,5.55
TIC 422438669,HD 214683,0.4944,-4.475,0.76
TIC 47295522,HD 214749,1.1840,-4.412,0.45
TIC 251042502,HD 215152,0.2485,-4.849,3.21
TIC 60781630,HD 216259,0.1797,-4.932,4.37
TIC 264899051,HD 216520,0.1921,-4.908,4.00
TIC 217331269,HD 216899,1.4635,-4.607,1.36
TIC 38271828,HD 217107,0.1487,-5.087,7.55
TIC 257428010,HD 217165,0.1619,-4.956,4.77
TIC 419012256,HD 217357,1.5700,-4.612,1.39
TIC 248052037,HD 217877,0.1525,-5.018,5.96
TIC 155315739,HD 217987,1.2215,-4.695,1.85
TIC 354242880,HD 218168,0.2940,-4.489,0.82
TIC 422556732,HD 218209,0.1879,-4.821,2.90
TIC 278952345,HD 218566,0.2349,-4.910,4.03
TIC 455819325,HD 218868,0.2001,-4.842,3.13
TIC 283722336,HD 219134,0.2465,-4.904,3.95
TIC 431698314,HD 219538,0.2361,-4.809,2.77
TIC 91103571,HD 219953,0.1729,-4.954,4.73
TIC 173924720,HD 220221,0.5660,-4.545,1.08
TIC 49644110,HD 220339,0.2312,-4.810,2.78
TIC 444314028,HD 221354,0.1564,-5.055,6.78
TIC 250080475,HD 221356,0.1556,-4.983,5.26
TIC 366036174,HD 221851,0.2954,-4.662,1.65
TIC 9005067,HD 222582,0.1688,-4.937,4.44
TIC 419939011,HD 222697,0.4538,-4.365,0.24
TIC 293367726,HD 223238,0.1529,-5.035,6.31
TIC 422724148,HD 223498,0.1517,-5.066,7.04
TIC 114806039,HD 224619,0.1638,-4.988,5.36
TIC 403021108,HD 224983,0.2008,-4.900,3.88
TIC 120461526,HD 225213,0.3489,-5.269,13.09
TIC 258866681,HD 225261,0.1727,-4.936,4.43
TIC 274545692,HD 232979,1.6230,-4.601,1.34
TIC 68581262,HD 265866,0.6103,-5.130,8.69
TIC 349389472,HD 281540,0.2063,-4.912,4.06
TIC 397354290,HD 285968,1.5030,-4.646,1.56
