star_name,gaiadr3,Prot[d], eProt[d]
TIC 259999047,5425628298649940608,16.8,1.6
TIC 340697083,5488567574038257280,26.7,6.7
TIC 428673146,3494677900774838144,29.8,3.1
TIC 7144533,4991747403868417792,28.4,8.7
TIC 77612635,3828238392559860992,21.7,0.1
TIC 180030300,6104435819513399168,37.2,2.0
TIC 292987389,2683023811628007296,31.0,0.1
TIC 454901855,5876112300125320448,21.2,1.1
TIC 12880347,2423292879948720000,19.9,1.4
TIC 281498595,4923433303326992384,22.8,0.7
TIC 39554091,4199396753205879040,33.4,0.2
TIC 19028197,654687847820642560,21.9,1.0
TIC 251042502,2623505219992303104,36.5,1.6
TIC 257393898,2552925644460225152,39.7,6.4
TIC 50726077,3209938366665770752,35.0,0.1
TIC 369021303,5925209583053212800,41.2,3.8
TIC 397354290,3409711211681795584,39.3,0.1
TIC 374859347,4758877919212831104,31.8,6.7
TIC 35055332,5412947081295024896,45.9,0.4
TIC 425935521,4900108950849461248,31.1,0.1
TIC 218263393,5951824121022278144,32.9,0.1
TIC 404519959,3738099879558957952,28.0,2.9
TIC 37533318,5649661592466640000,33.4,10.0
TIC 248027247,2627117287488522240,39.2,6.3
TIC 176188045,4293318823182081408,46.5,0.3
TIC 217331269,2828928008202069376,37.5,0.1
TIC 139754153,6562924609150908416,45.7,9.3
TIC 119147875,3657653114880309248,43.8,0.1
TIC 72465347,3741297293732404352,52.3,1.7
TIC 138819293,4017860992519744384,39.9,0.8
TIC 149590989,6002807341299977216,61.3,6.5
TIC 120461526,2306965202564744064,60.1,5.7
TIC 219221189,4780294722094459904,61.0,0.3
TIC 413248763,5664814198431308288,74.3,1.7
TIC 188580272,2603090003484152064,87.3,5.7
TIC 57654763,3478160727866058368,73.2,16.0
TIC 318686860,3139847906307949696,115.6,19.4
TIC 154385809,5975663354131618304,103.9,0.7
TIC 388857263,5853498713190525696,116.6,0.7
TIC 41378014,4177731838628465408,127.8,3.2
TIC 273418879,6378584028690858496,116.1,0.7
TIC 36853511,6322070093095493504,132.5,6.3
TIC 325554331,4472832130942575872,148.6,0.1