,Star,Nobs,Nnights,Tspan,snr-med,DateStart,DateEnd,Vmag,B-V,plx,SpType,Teff,Age,e_Age,SMWmed,SMWwmean,e_SMW,s_SMW,logRHKmed,logRHKwmean,e_logRHK,R5med,R5wmean,e_R5,s_R5,_RA,_DE,gaia_dr3_id
227,HD 183783,43,40,4326,79,b'2004-05-26T08:14:22.216',b'2016-03-30T08:34:34.947',8.693,1.089,47.341,b'K4',4595,5.561,4.918,0.3852,0.3809,0.0024,0.0378,-4.8465,-4.8515,0.0028,1.424,1.408,0.009,0.144,293.12612,-35.45173,6741156023833749504
228,HD 183870,1,1,1,173,b'2005-07-28T03:54:25.703',b'2005-07-28T03:54:25.703',7.529,0.922,56.516,b'K2',4961,7.701,4.45,0.5378,0.5378,0.0011,0.0,-4.4766,-4.4766,0.001,3.337,3.337,0.007,0.0,293.02793,-11.27494,4187837450005192704
229,HD 183993,15,13,434,105,b'2005-05-11T08:45:28.342',b'2006-07-20T02:54:08.123',8.432,0.802,20.66,b'G2',5821,1.964,2.122,0.1521,0.151,0.0009,0.0041,-5.1115,-5.1175,0.0047,0.774,0.763,0.008,0.04,293.0041,5.39856,4294231623975947264
230,HD 184768,6,5,8,176,b'2005-05-12T08:34:56.822',b'2005-05-20T08:26:24.729',7.594,0.691,25.087,b'G4',5675,10.919,2.343,0.1631,0.163,0.0006,0.0006,-5.0212,-5.0219,0.0038,0.952,0.951,0.008,0.008,294.00272,0.09119,4239437599419697664
231,HD 184985,39,16,2259,222,b'2005-04-06T09:58:32.397',b'2011-06-14T09:01:01.619',5.461,0.502,31.65,b'F6',6372,2.326,0.583,0.148,0.1478,0.0006,0.0011,-4.9352,-4.9368,0.0039,1.161,1.157,0.011,0.021,294.39339,-14.3018,4182958848189670400
232,HD 185283,71,11,2977,45,b'2005-07-29T04:48:36.716',b'2017-11-10T23:58:35.248',9.025,1.038,31.823,b'K3',4746,6.506,5.096,0.2675,0.2637,0.0026,0.0334,-4.9447,-4.9514,0.0046,1.136,1.118,0.012,0.153,295.32463,-56.32188,6640676436470581248
233,HD 185615,22,21,2947,113,b'2004-05-15T09:04:24.108',b'2012-06-09T07:17:09.246',8.091,0.727,22.283,b'G6',5570,10.212,2.016,0.1598,0.1595,0.0008,0.0021,-5.0556,-5.0571,0.0047,0.88,0.877,0.01,0.025,295.30698,-32.87336,6741888096717765632
234,HD 186061,1,1,1,73,b'2004-05-29T08:58:31.639',b'2004-05-29T08:58:31.639',8.738,0.989,33.27,b'K3',4916,5.47,4.979,0.3818,0.3818,0.0021,0.0,-4.718,-4.718,0.0025,1.914,1.914,0.011,0.0,296.21838,-52.33634,6642655488681210880
235,HD 186803,5,4,126,87,b'2005-04-06T10:02:14.799',b'2005-08-11T02:34:23.047',7.606,0.691,32.804,b'G5',5660,0.563,0.555,0.2947,0.295,0.0011,0.0059,-4.5763,-4.5758,0.0024,2.653,2.656,0.015,0.076,296.82542,-18.74666,6869035449555144704
236,HD 187456,36,35,4149,79,b'2004-05-29T09:23:13.774',b'2015-10-08T00:28:11.976',8.402,1.059,42.449,b'K3',4832,5.706,4.614,0.3215,0.3243,0.0022,0.0198,-4.8862,-4.8822,0.0031,1.3,1.312,0.009,0.084,299.06729,-72.3643,6416143002299883520
237,HD 188559,33,30,796,88,b'2004-05-29T09:45:04.197',b'2006-08-03T05:22:59.626',8.541,1.05,42.325,b'K3',4786,5.2,4.867,0.399,0.4071,0.0021,0.0461,-4.7765,-4.7674,0.0024,1.673,1.708,0.009,0.202,299.63743,-54.93689,6449124395465377792
238,HD 188642,1,1,1,124,b'2005-06-24T05:00:06.949',b'2005-06-24T05:00:06.949',6.536,0.411,19.237,b'  ',0,0.0,0.0,0.2627,0.2627,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.42211,-38.05888,6691115226725316608
239,HD 188748,20,20,2133,114,b'2004-07-20T04:31:09.147',b'2010-05-23T09:45:22.122',8.113,0.671,24.362,b'G6',5623,9.349,1.962,0.1699,0.1696,0.0008,0.0019,-4.9708,-4.9724,0.0044,1.07,1.066,0.011,0.026,300.46687,-69.18794,6423511619991420928
240,HD 189004,5,5,2251,34,b'2006-07-02T06:31:29.951',b'2012-08-30T04:57:57.871',9.366,0.864,21.194,b'K2',5079,9.744,4.085,0.4684,0.4589,0.0044,0.0135,-4.4798,-4.49,0.0046,3.313,3.236,0.035,0.109,299.66628,-19.93564,6866972250345142272
241,HD 189242,5,5,3327,78,b'2006-05-14T07:52:11.786',b'2015-06-23T09:10:52.742',9.192,0.917,28.719,b'K3',4913,7.954,5.0,0.4485,0.4448,0.0022,0.0382,-4.5578,-4.5619,0.0024,2.768,2.742,0.015,0.262,299.94137,-20.21041,6866905901690264576
242,HD 189567,659,254,5031,183,b'2003-10-25T01:06:18.267',b'2017-08-03T03:04:47.804',6.075,0.65,55.82,b'G3',5726,11.624,1.021,0.1778,0.1782,0.0006,0.0031,-4.9138,-4.912,0.0031,1.219,1.225,0.009,0.044,301.38652,-67.3209,6427244702486210560
243,HD 189625,59,21,1757,160,b'2004-10-08T23:37:28.055',b'2009-08-01T06:31:49.533',7.332,0.651,29.292,b'G1',5846,0.977,0.812,0.2061,0.2036,0.0007,0.0113,-4.7909,-4.8006,0.0027,1.618,1.583,0.01,0.16,300.38667,-16.869,6871005636949836800
244,HD 189733,117,8,395,84,b'2006-07-30T02:31:01.288',b'2007-08-29T03:27:54.754',7.656,0.927,50.568,b'K2',4969,8.756,4.857,0.5435,0.5401,0.0009,0.0161,-4.4777,-4.4807,0.0008,3.329,3.306,0.006,0.107,300.18214,22.71085,1827242816201846016
245,HD 190594,6,5,8,121,b'2005-05-12T08:52:55.299',b'2005-05-20T08:42:38.827',8.348,0.775,23.8,b'G9',5413,10.333,2.573,0.1643,0.164,0.0008,0.0021,-5.0439,-5.0455,0.0041,0.904,0.9,0.009,0.022,301.39014,3.50276,4247115798351115776
246,HD 190954,21,21,2641,92,b'2005-07-29T05:06:04.357',b'2012-10-21T00:03:36.808',8.375,0.706,24.472,b'G8',5430,0.023,0.001,0.172,0.1723,0.001,0.003,-4.9797,-4.9785,0.005,1.048,1.051,0.012,0.038,302.45068,-51.71824,6666015128609223680
247,HD 191033,9,9,3050,58,b'2006-07-02T06:58:23.832',b'2014-11-07T01:42:41.517',7.535,0.522,20.568,b'F7',6206,3.911,1.082,0.1631,0.1637,0.0013,0.0032,-4.8648,-4.8613,0.0074,1.365,1.376,0.023,0.058,302.14955,-23.59054,6851090320276639744
248,HD 191285,26,13,2045,40,b'2006-07-02T07:02:48.417',b'2013-11-04T00:31:38.314',9.755,1.139,31.84,b'K5',4492,5.678,4.853,0.7192,0.7254,0.0061,0.0519,-4.6456,-4.6419,0.0037,2.261,2.281,0.019,0.165,302.40195,-14.28691,6877985989601384448
249,HD 191797,39,30,4680,40,b'2004-07-15T07:19:12.207',b'2017-05-09T06:00:15.056',9.495,0.904,22.563,b'K2',5037,4.219,4.081,0.6392,0.6385,0.005,0.0251,-4.3746,-4.3751,0.0037,4.221,4.216,0.036,0.179,303.45751,-47.61523,6669199657880255488
250,HD 191847,2,2,1041,63,b'2005-07-25T04:42:12.391',b'2008-05-31T09:47:36.887',9.469,0.869,21.496,b'K2',5020,10.648,5.057,0.2976,0.2942,0.002,0.0089,-4.7172,-4.7234,0.0036,1.918,1.89,0.016,0.07,303.33154,-36.3024,6694561405404064768
251,HD 191902,2,1,1,38,b'2009-07-01T07:05:00.526',b'2009-07-04T09:00:40.357',9.875,1.036,24.515,b'K4',4626,7.198,5.636,0.6599,0.6599,0.0053,0.0,-4.5304,-4.5304,0.0036,2.949,2.949,0.024,0.0,303.17392,-13.20166,6879590383224916992
252,HD 192031,22,17,3374,91,b'2004-05-25T08:47:07.998',b'2013-08-22T05:22:04.139',8.679,0.735,28.295,b'K1',5215,0.023,0.001,0.1774,0.1771,0.0014,0.0015,-4.967,-4.9685,0.0064,1.079,1.075,0.016,0.017,303.3441,-15.43211,6874580149255288832
253,HD 192117,2,2,747,81,b'2004-07-17T05:23:05.728',b'2006-08-03T06:07:47.971',8.394,0.734,25.135,b'G8',5479,4.419,3.06,0.2717,0.2718,0.0013,0.0003,-4.6625,-4.6624,0.003,2.175,2.176,0.015,0.003,305.10076,-75.57788,6366579320221511680
254,HD 192310,1835,432,4717,183,b'2003-11-01T23:50:09.750',b'2016-10-01T04:00:05.129',5.751,0.885,113.648,b'K2',5087,6.288,4.533,0.1951,0.2004,0.0006,0.021,-4.9668,-4.9509,0.0019,1.08,1.12,0.005,0.159,303.82247,-27.03298,6847167606385196032
255,HD 193193,56,41,5318,179,b'2003-11-05T00:15:37.506',b'2018-05-28T05:49:39.872',7.197,0.593,25.02,b'G0',5979,5.992,1.108,0.1667,0.1658,0.0006,0.0052,-4.9234,-4.9285,0.0037,1.193,1.179,0.01,0.084,304.93827,-25.2286,6848935999040583680
256,HD 193844,5,3,446,78,b'2005-08-24T06:17:41.308',b'2006-11-15T00:08:40.337',9.193,0.871,26.69,b'K2',5007,8.04,4.676,0.284,0.2866,0.0014,0.0085,-4.7444,-4.7395,0.0026,1.801,1.822,0.011,0.067,305.67448,-10.30187,6905188590167308288
257,HD 193901,28,23,3965,68,b'2003-11-02T00:06:43.372',b'2014-09-10T00:45:39.167',8.63,0.547,20.807,b'G6',5611,0.015,0.001,0.1712,0.1706,0.0013,0.0022,-4.848,-4.8513,0.0071,1.419,1.408,0.023,0.038,305.89936,-21.37062,6859076107589173248
258,HD 194717,6,1,1,76,b'2006-07-05T08:24:08.832',b'2017-09-28T01:50:11.290',9.071,0.76,20.649,b'K0',5247,0.03,0.018,0.175,0.175,0.0012,0.0,-4.9879,-4.9879,0.0055,1.028,1.028,0.013,0.0,308.98112,-78.46943,6362034660706207744
259,HD 195034,1,1,1,153,b'2009-05-22T09:51:21.738',b'2009-05-22T09:51:21.738',7.054,0.629,35.514,b'G2',5803,2.897,0.829,0.1937,0.1937,0.0007,0.0,-4.8224,-4.8224,0.003,1.505,1.505,0.01,0.0,307.04923,22.12899,1818697205647102720
260,HD 195302,3,3,1414,64,b'2004-07-17T05:40:54.958',b'2008-05-31T10:03:40.897',9.239,0.827,23.365,b'K2',5063,5.28,4.509,0.3025,0.2962,0.0019,0.0078,-4.6726,-4.6843,0.0035,2.125,2.068,0.017,0.071,307.92079,-35.52416,6695591029323538432
261,HD 195564,95,37,4363,259,b'2003-11-05T00:34:29.460',b'2015-10-16T01:14:47.709',5.671,0.693,40.382,b'G4',5676,7.529,1.683,0.1458,0.1458,0.0006,0.0012,-5.1753,-5.1754,0.0046,0.668,0.668,0.007,0.015,308.09873,-9.85339,6904703228801029120
262,HD 196385,57,18,1890,210,b'2006-05-20T07:41:00.393',b'2011-07-23T08:15:25.046',6.384,0.329,20.967,b'  ',0,0.0,0.0,0.2837,0.2835,0.0006,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.46762,-25.10922,6800404105546752000
263,HD 196761,66,37,4363,200,b'2003-11-05T00:47:34.709',b'2015-10-16T01:24:54.842',6.43,0.744,68.135,b'G8',5415,12.229,2.548,0.1861,0.1867,0.0006,0.005,-4.9326,-4.9299,0.0025,1.168,1.175,0.007,0.056,310.04898,-23.77387,6854626246593473536
264,HD 196800,29,29,4122,172,b'2006-07-29T05:48:15.910',b'2017-11-10T00:47:10.601',7.198,0.603,23.98,b'F9',6010,3.215,0.27,0.1561,0.1558,0.0006,0.0015,-5.0009,-5.0028,0.0044,0.998,0.994,0.01,0.023,310.09306,-24.11803,6806482034026893312
265,HD 197210,19,18,2831,139,b'2005-08-24T06:53:17.626',b'2013-05-25T08:52:36.210',7.5,0.672,33.504,b'G6',5577,7.32,1.709,0.1891,0.1885,0.0008,0.0061,-4.8766,-4.8794,0.0034,1.329,1.32,0.01,0.082,310.62254,-5.30124,6914237987476826112
266,HD 197818,15,14,2322,136,b'2007-06-03T08:47:34.992',b'2013-10-11T01:15:54.506',7.658,0.619,27.106,b'G2',5808,5.026,1.332,0.1763,0.1771,0.0007,0.0039,-4.8959,-4.8917,0.0038,1.271,1.283,0.011,0.06,311.64279,-17.1629,6861955037050486784
267,HD 197823,22,18,1056,117,b'2004-10-09T00:21:06.775',b'2007-08-31T05:47:53.830',8.249,0.755,27.004,b'G9',5396,4.939,2.889,0.2376,0.2486,0.001,0.0205,-4.7644,-4.735,0.0027,1.72,1.841,0.011,0.226,311.81925,-35.15409,6779678792398337024
268,HD 197921,9,1,1,50,b'2007-06-04T09:57:20.372',b'2017-05-10T07:57:26.186',9.241,0.976,25.494,b'K3',4913,5.065,4.794,0.2236,0.2236,0.0025,0.0,-4.9621,-4.9621,0.0056,1.091,1.091,0.014,0.0,312.29248,-54.77774,6470278694244646912
269,HD 198075,22,22,2887,108,b'2004-12-04T00:29:21.675',b'2012-10-30T01:19:48.237',8.016,0.618,24.042,b'G1',5846,4.991,1.093,0.1714,0.1711,0.0008,0.0026,-4.9207,-4.9224,0.0045,1.2,1.196,0.013,0.04,312.06329,-12.4543,6888226462941735936
270,HD 199190,78,25,763,129,b'2004-07-15T08:05:27.077',b'2006-09-03T05:15:31.972',6.853,0.624,26.052,b'G0',5926,4.932,0.709,0.1536,0.1533,0.0007,0.0022,-5.0379,-5.0406,0.0047,0.916,0.911,0.01,0.033,315.02415,-69.57943,6375406062130233344
271,HD 199260,49,12,2456,214,b'2004-09-22T00:49:04.699',b'2011-06-14T09:23:51.482',5.702,0.508,46.976,b'  ',0,0.0,0.0,0.294,0.2947,0.0006,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.19721,-26.29638,6802426038708610048
272,HD 199288,1136,168,4849,214,b'2003-11-04T01:05:35.187',b'2017-09-06T04:49:38.740',6.521,0.588,46.318,b'G2',5765,0.018,0.0,0.172,0.1722,0.0006,0.0017,-4.8884,-4.8868,0.0033,1.293,1.298,0.01,0.027,314.41695,-44.12937,6484716209628727296
273,HD 199933,2,2,4,65,b'2004-05-21T09:32:20.268',b'2004-05-25T09:38:20.359',9.357,1.045,32.285,b'K3',4730,4.673,4.631,0.759,0.7615,0.0038,0.041,-4.4805,-4.479,0.0022,3.308,3.319,0.017,0.183,315.57602,-52.2914,6476635898675745792
274,HD 199981,24,11,3679,40,b'2007-06-04T10:25:03.281',b'2017-06-30T06:40:56.025',9.375,1.241,48.723,b'K4',4546,4.726,4.862,1.1444,1.1485,0.0081,0.0478,-4.6117,-4.6102,0.0031,2.445,2.454,0.017,0.102,315.41292,-32.52448,6781117812601143296
275,HD 200083,25,5,2194,48,b'2006-06-03T09:25:50.483',b'2014-09-29T02:33:22.126',9.623,1.056,26.257,b'K3',4828,4.781,4.695,0.3192,0.3246,0.0031,0.0266,-4.886,-4.8783,0.0045,1.3,1.323,0.013,0.114,315.47116,-22.5826,6807665039816419328
276,HD 200349,33,12,329,42,b'2004-09-23T02:37:26.178',b'2009-10-06T03:18:48.941',9.414,1.038,30.792,b'K3',4844,4.309,4.359,0.4678,0.4699,0.004,0.0116,-4.6873,-4.6853,0.0039,2.054,2.064,0.018,0.053,316.38206,-59.13838,6456068090569155584
277,HD 200505,1,1,1,54,b'2004-08-01T07:50:15.199',b'2004-08-01T07:50:15.199',8.548,0.839,35.917,b'K2',5035,10.084,4.111,0.3974,0.3974,0.0026,0.0,-4.5376,-4.5376,0.0034,2.9,2.9,0.023,0.0,316.94134,-67.92032,6376731416021420032
278,HD 201219,12,12,435,58,b'2005-05-11T09:49:50.446',b'2006-07-20T04:04:16.886',8.018,0.695,26.388,b'G5',5656,0.545,0.481,0.3065,0.3042,0.0019,0.0138,-4.5551,-4.5597,0.0039,2.786,2.756,0.025,0.177,316.9855,7.43294,1736965554247359232
279,HD 202206,67,62,4872,121,b'2004-05-21T08:34:36.702',b'2017-09-22T02:30:46.399',8.066,0.709,21.726,b'G2',5757,0.986,0.844,0.2318,0.2336,0.0009,0.0111,-4.7487,-4.7434,0.0028,1.784,1.806,0.011,0.137,318.7407,-20.78921,6832155218215202816
280,HD 202389,11,5,33,36,b'2007-06-06T10:09:58.992',b'2009-09-17T04:57:23.843',10.036,1.077,25.463,b'K4',4565,6.813,5.441,0.5771,0.5829,0.0051,0.0072,-4.6495,-4.645,0.0039,2.241,2.264,0.02,0.029,319.24953,-46.06262,6576452652326174720
281,HD 203384,21,21,2890,123,b'2004-12-02T00:28:10.566',b'2012-10-31T01:23:45.476',8.028,0.761,24.452,b'G6',5586,3.394,2.141,0.1614,0.1613,0.0009,0.0044,-5.0554,-5.056,0.0046,0.88,0.879,0.009,0.048,320.47367,-4.1743,2684228223537656320
282,HD 203413,5,5,4738,83,b'2004-08-13T05:11:13.668',b'2017-08-03T05:50:48.779',8.679,1.063,39.006,b'K3',4812,5.02,4.752,0.67,0.6625,0.0032,0.047,-4.5617,-4.5667,0.0021,2.743,2.712,0.014,0.197,321.06304,-58.6923,6453300894679705600
283,HD 203432,74,37,1405,148,b'2003-10-27T00:40:51.552',b'2007-09-01T05:21:40.987',7.605,0.739,28.52,b'G5',5645,2.439,1.544,0.1971,0.2032,0.0008,0.0161,-4.886,-4.863,0.003,1.3,1.371,0.009,0.185,320.84402,-41.55251,6582020205549054976
284,HD 204287,15,6,2621,62,b'2003-10-29T00:17:07.872',b'2013-08-02T08:29:38.886',7.321,0.66,20.125,b'G3',5743,8.597,2.415,0.1517,0.151,0.0011,0.0037,-5.1246,-5.13,0.0088,0.751,0.741,0.015,0.049,322.31032,-50.31684,6466670337598423040
285,HD 204313,113,105,4158,125,b'2006-05-06T09:31:06.392',b'2017-09-24T02:43:59.450',7.986,0.696,20.894,b'G2',5776,4.473,1.073,0.1598,0.1606,0.0007,0.0033,-5.0433,-5.0384,0.0046,0.905,0.915,0.01,0.043,322.05086,-21.72625,6828450688663428096
286,HD 204385,23,20,3281,150,b'2003-10-28T01:17:36.417',b'2012-10-21T02:51:08.236',7.132,0.593,26.406,b'F9',6033,3.252,0.37,0.1619,0.1618,0.0007,0.0014,-4.9529,-4.9537,0.0042,1.115,1.112,0.011,0.022,322.69971,-62.1676,6403912515987392512
287,HD 204941,96,95,4312,95,b'2004-12-02T00:45:30.058',b'2016-09-22T04:47:31.303',8.453,0.879,34.794,b'K2',4997,10.142,8.332,0.2091,0.2072,0.0012,0.0142,-4.9219,-4.9275,0.0034,1.197,1.182,0.009,0.11,323.09796,-20.95742,6830027182179257344
288,HD 205536,36,34,4415,165,b'2003-10-28T01:34:22.329',b'2015-11-29T00:28:24.878',7.074,0.756,44.973,b'G8',5442,9.832,1.811,0.1648,0.1646,0.0007,0.002,-5.0362,-5.0377,0.0036,0.92,0.917,0.008,0.022,325.12406,-74.07428,6370513647703085056
289,HD 206163,1,1,1,123,b'2004-11-26T00:12:28.167',b'2004-11-26T00:12:28.167',8.352,0.753,24.913,b'G7',5519,2.471,1.726,0.3127,0.3127,0.001,0.0,-4.5923,-4.5923,0.002,2.557,2.557,0.012,0.0,325.56894,-57.61295,6458847862122637312
290,HD 206172,21,20,2209,87,b'2004-12-02T01:02:58.050',b'2012-11-25T23:59:33.857',8.551,0.676,22.137,b'G6',5608,7.928,1.538,0.1903,0.1889,0.001,0.005,-4.8745,-4.8806,0.0044,1.335,1.316,0.013,0.067,325.11566,-2.01758,2674471122993231360
291,HD 206630,6,3,2205,41,b'2007-07-31T07:16:38.939',b'2013-08-13T03:43:36.513',9.781,0.96,24.868,b'K3',4804,6.358,4.927,0.4006,0.3754,0.0035,0.0424,-4.6606,-4.6916,0.0041,2.185,2.034,0.021,0.253,326.2524,-52.46421,6462371109694672896
292,HD 207129,385,107,4418,190,b'2003-10-25T01:15:38.284',b'2015-11-29T01:13:58.802',5.577,0.603,64.264,b'G0',5937,2.013,0.589,0.1746,0.1755,0.0006,0.0052,-4.8898,-4.8853,0.003,1.289,1.302,0.009,0.081,327.06563,-47.30362,6564091190988411904
293,HD 207583,2,2,139,110,b'2004-07-18T07:23:06.975',b'2004-12-04T00:46:20.654',8.28,0.735,26.229,b'G7',5534,1.14,1.107,0.3806,0.3807,0.0012,0.001,-4.4643,-4.4642,0.0018,3.433,3.434,0.014,0.011,327.59626,-16.19653,6837559970700624896
294,HD 207699,8,3,288,44,b'2003-10-31T01:51:33.869',b'2013-08-13T04:21:49.139',9.464,1.001,26.537,b'K3',4874,4.92,4.639,0.3818,0.3792,0.0035,0.0133,-4.7323,-4.7354,0.0043,1.852,1.839,0.018,0.069,328.01314,-45.0075,6564897098651283456
295,HD 207700,38,22,5105,136,b'2003-10-24T00:54:57.425',b'2017-10-24T03:28:55.449',7.414,0.69,26.024,b'G5',5666,10.274,2.545,0.1652,0.1651,0.0007,0.0019,-5.0087,-5.0091,0.0043,0.98,0.979,0.01,0.025,328.68835,-73.43848,6358928609077405696
296,HD 207970,20,20,3660,137,b'2003-10-31T01:11:10.130',b'2013-11-07T01:24:15.669',7.813,0.731,26.115,b'G7',5556,10.15,2.084,0.1606,0.1609,0.0007,0.0022,-5.0519,-5.0503,0.0042,0.887,0.891,0.009,0.026,328.42422,-28.67061,6617815730006011904
297,HD 208272,30,28,527,109,b'2003-10-31T00:50:30.505',b'2005-04-10T09:05:27.776',8.473,0.847,30.724,b'K1',5199,5.425,4.242,0.4499,0.447,0.0016,0.0181,-4.4815,-4.4848,0.0018,3.3,3.275,0.014,0.154,328.92498,-29.70614,6617495364101129216
298,HD 208487,76,36,5060,146,b'2004-09-17T04:26:19.219',b'2018-07-26T08:47:24.938',7.46,0.564,22.121,b'F8',6146,1.256,0.787,0.1616,0.1617,0.0006,0.0031,-4.9235,-4.923,0.0038,1.193,1.194,0.01,0.052,329.3327,-37.76362,6586580842340695040
299,HD 208573,3,2,347,67,b'2003-12-18T01:12:30.620',b'2004-11-29T00:38:34.006',9.054,1.036,29.836,b'K3',4910,4.59,4.302,0.574,0.5843,0.0039,0.0106,-4.5931,-4.5851,0.003,2.552,2.599,0.018,0.049,329.45524,-29.11635,6617542093345361920
300,HD 208704,73,69,4846,177,b'2004-07-18T07:39:50.248',b'2017-10-24T04:15:28.325',7.173,0.645,29.052,b'G1',5826,8.379,1.706,0.1713,0.1714,0.0007,0.003,-4.9441,-4.9438,0.0037,1.137,1.138,0.01,0.044,329.60136,-12.66466,6840872971033892864
301,HD 208880,12,7,427,93,b'2005-05-11T10:27:33.860',b'2006-07-20T05:03:50.818',8.454,0.756,25.899,b'G8',5451,1.279,1.368,0.1862,0.1864,0.0011,0.0028,-4.9379,-4.9369,0.0046,1.154,1.156,0.012,0.03,329.78718,3.19777,2695552540468718592
302,HD 209262,2,2,1,112,b'2005-05-19T09:42:30.343',b'2005-05-20T10:09:47.387',7.999,0.687,20.213,b'G3',5736,6.747,1.42,0.1619,0.1613,0.0009,0.0009,-5.0263,-5.0297,0.0056,0.941,0.934,0.012,0.012,330.47551,4.77045,2696108034358916608
303,HD 209566,13,3,3809,61,b'2003-11-05T01:08:23.734',b'2015-11-27T01:31:23.975',8.568,0.754,20.29,b'G8',5500,7.876,2.072,0.1634,0.1609,0.0013,0.0065,-5.0431,-5.0566,0.007,0.905,0.878,0.015,0.071,331.27393,-35.18173,6587352489048146944
